Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
P15,~,Cap_Touch_Ring_Large,58.73564,80.986324,90.0,top
P16,~,Cap_Touch_Ring_Large,82.92256,80.986324,90.0,top
P17,~,Cap_Touch_Ring_Large,107.10948,80.986324,90.0,top
P18,~,Cap_Touch_Ring_Large,131.296402,81.061684,90.0,top
P19,~,Cap_Touch_Ring_Medium_Bottom,7.861802,108.288643,90.0,top
P20,~,Cap_Touch_Ring_Medium_Bottom,33.048721,108.522883,90.0,top
P21,~,Cap_Touch_Ring_Medium_Bottom,58.23564,108.522883,90.0,top
P22,~,Cap_Touch_Ring_Medium_Bottom,83.422559,108.522883,90.0,top
P23,~,Cap_Touch_Ring_Medium_Bottom,108.609478,108.522883,90.0,top
P24,~,Cap_Touch_Ring_Medium_Bottom,133.7964,108.573123,90.0,top
P25,~,Cap_Touch_Ring_Large_Bottom,10.3618,135.942322,90.0,top
P26,~,Cap_Touch_Ring_Large_Bottom,34.54872,136.059442,90.0,top
P27,~,Cap_Touch_Ring_Large_Bottom,58.73564,136.059442,90.0,top
P28,~,Cap_Touch_Ring_Large_Bottom,82.92256,136.059442,90.0,top
P29,~,Cap_Touch_Ring_Large_Bottom,107.10948,136.059442,90.0,top
P30,~,Cap_Touch_Ring_Large_Bottom,131.296402,136.084562,90.0,top
P31,~,Cap_Touch_Ring_Cutout,6.361802,159.766,0.0,top
P32,~,Cap_Touch_Ring_Cutout,32.148721,159.766,0.0,top
P33,~,Cap_Touch_Ring_Cutout,57.93564,159.766,0.0,top
P34,~,Cap_Touch_Ring_Cutout,83.722559,159.766,0.0,top
P35,~,Cap_Touch_Ring_Cutout,109.509478,159.766,0.0,top
P36,~,Cap_Touch_Ring_Cutout,135.2964,159.766,0.0,top
Q1,PMOS,SOT-23,124.206,9.906,0.0,bottom
Q2,NMOS,TSOT-23,11.049,28.956,270.0,bottom
Q3,NMOS,TSOT-23,37.719,28.956,270.0,bottom
Q4,NMOS,TSOT-23,63.754,28.956,270.0,bottom
Q5,NMOS,TSOT-23,78.359,28.956,270.0,bottom
Q6,NMOS,TSOT-23,104.394,28.956,270.0,bottom
Q7,NMOS,TSOT-23,129.794,27.686,270.0,bottom
Q8,NMOS,TSOT-23,14.532162,49.338993,270.0,bottom
Q9,NMOS,TSOT-23,38.989,49.911,270.0,bottom
Q10,NMOS,TSOT-23,63.754,49.911,270.0,bottom
Q11,NMOS,TSOT-23,77.978,55.118,270.0,bottom
Q12,NMOS,TSOT-23,102.489,49.911,270.0,bottom
Q13,NMOS,TSOT-23,127.12604,49.907953,270.0,bottom
Q14,NMOS,TSOT-23,17.399,77.851,270.0,bottom
Q15,NMOS,TSOT-23,41.529,77.851,270.0,bottom
Q16,NMOS,TSOT-23,65.659,77.851,270.0,bottom
Q17,NMOS,TSOT-23,75.819,77.851,270.0,bottom
Q18,NMOS,TSOT-23,99.949,77.851,270.0,bottom
Q19,NMOS,TSOT-23,124.079,77.851,270.0,bottom
Q20,NMOS,TSOT-23,16.764,101.981,270.0,bottom
Q21,NMOS,TSOT-23,42.992,105.116,270.0,bottom
Q22,NMOS,TSOT-23,68.199,108.966,90.0,bottom
Q23,NMOS,TSOT-23,73.279,108.966,90.0,bottom
Q24,NMOS,TSOT-23,99.314,101.981,270.0,bottom
Q25,NMOS,TSOT-23,124.714,101.981,270.0,bottom
Q26,NMOS,TSOT-23,21.209,126.746,270.0,bottom
Q27,NMOS,TSOT-23,45.339,126.746,270.0,bottom
Q28,NMOS,TSOT-23,68.58,125.984,270.0,bottom
Q29,NMOS,TSOT-23,73.025,125.476,270.0,bottom
Q30,NMOS,TSOT-23,96.139,126.746,270.0,bottom
Q31,NMOS,TSOT-23,120.269,126.746,270.0,bottom
Q32,NMOS,TSOT-23,14.224,155.956,270.0,bottom
Q33,NMOS,TSOT-23,40.259,155.956,270.0,bottom
Q34,NMOS,TSOT-23,65.024,164.084,90.0,bottom
Q35,NMOS,TSOT-23,76.708,164.106,90.0,bottom
Q36,NMOS,TSOT-23,101.854,155.956,270.0,bottom
Q37,NMOS,TSOT-23,127.254,155.956,270.0,bottom
R1,0R,R_0603_1608Metric,143.51,21.59,270.0,bottom
R2,0R,R_0603_1608Metric,141.986,21.59,270.0,bottom
R3,R,R_0603_1608Metric,86.868,3.81,180.0,bottom
R4,R,R_0603_1608Metric,86.868,2.032,180.0,bottom
R5,R,R_0603_1608Metric,86.868,0.254,180.0,bottom
R6,R,R_0603_1608Metric,86.868,-1.524,180.0,bottom
R7,5k1,R_0603_1608Metric,135.89,8.382,270.0,bottom
R8,5k1,R_0603_1608Metric,135.89,19.05,90.0,bottom
R11,0R,R_0603_1608Metric,125.984,6.604,0.0,bottom
R12,100k,R_0603_1608Metric,124.714,17.526,0.0,bottom
R13,3.3k-8k,R_0603_1608Metric,101.854,12.7,90.0,bottom
R14,10k,R_0603_1608Metric,49.276,15.24,90.0,bottom
R15,3.3k-8k,R_0603_1608Metric,91.44,9.652,0.0,bottom
R16,0R,R_0603_1608Metric,48.006,1.556,0.0,bottom
R17,0R,R_0603_1608Metric,48.006,3.334,0.0,bottom
R18,0R,R_0603_1608Metric,133.858,13.208,180.0,bottom
R19,0R,R_0603_1608Metric,133.858,15.24,180.0,bottom
R20,0R,R_0603_1608Metric,44.704,12.192,0.0,bottom
R21,0R,R_0603_1608Metric,44.704,10.414,0.0,bottom
R22,10k,R_0603_1608Metric,52.832,-1.27,270.0,bottom
R23,10k,R_0603_1608Metric,49.022,-1.27,270.0,bottom
R24,10k,R_0603_1608Metric,11.049,32.766,180.0,bottom
R25,470R 1/2W,R_1206_3216Metric,7.239,24.511,180.0,bottom
R26,10k,R_0603_1608Metric,37.719,32.766,180.0,bottom
R27,470R 1/2W,R_1206_3216Metric,33.274,25.146,180.0,bottom
R28,10k,R_0603_1608Metric,63.754,32.766,180.0,bottom
R29,470R 1/2W,R_1206_3216Metric,59.309,25.146,180.0,bottom
R30,10k,R_0603_1608Metric,78.359,32.766,180.0,bottom
R31,470R 1/2W,R_1206_3216Metric,82.169,25.146,0.0,bottom
R32,10k,R_0603_1608Metric,104.394,32.766,180.0,bottom
R33,470R 1/2W,R_1206_3216Metric,108.204,25.146,0.0,bottom
R34,10k,R_0603_1608Metric,129.794,31.496,180.0,bottom
R35,470R 1/2W,R_1206_3216Metric,134.874,25.146,0.0,bottom
R36,10k,R_0603_1608Metric,14.532162,53.086,180.0,bottom
R37,470R 1/2W,R_1206_3216Metric,9.779,46.736,180.0,bottom
R38,10k,R_0603_1608Metric,38.989,53.721,180.0,bottom
R39,470R 1/2W,R_1206_3216Metric,34.544,47.371,180.0,bottom
R40,10k,R_0603_1608Metric,63.754,53.721,180.0,bottom
R41,470R 1/2W,R_1206_3216Metric,59.436,47.371,180.0,bottom
R42,10k,R_0603_1608Metric,77.978,58.928,180.0,bottom
R43,470R 1/2W,R_1206_3216Metric,78.486,50.038,90.0,bottom
R44,10k,R_0603_1608Metric,102.489,53.721,180.0,bottom
R45,470R 1/2W,R_1206_3216Metric,106.934,47.498,0.0,bottom
R46,10k,R_0603_1608Metric,127.12604,53.717953,180.0,bottom
R47,470R 1/2W,R_1206_3216Metric,131.699,47.498,0.0,bottom
R48,10k,R_0603_1608Metric,17.399,81.661,180.0,bottom
R49,470R 1/2W,R_1206_3216Metric,12.319,74.041,180.0,bottom
R50,10k,R_0603_1608Metric,41.529,81.661,180.0,bottom
R51,470R 1/2W,R_1206_3216Metric,36.449,74.041,180.0,bottom
R52,10k,R_0603_1608Metric,65.659,81.661,180.0,bottom
R53,470R 1/2W,R_1206_3216Metric,60.579,74.041,180.0,bottom
R54,10k,R_0603_1608Metric,75.819,81.661,180.0,bottom
R55,470R 1/2W,R_1206_3216Metric,80.899,74.041,0.0,bottom
R56,10k,R_0603_1608Metric,99.949,81.661,180.0,bottom
R57,470R 1/2W,R_1206_3216Metric,105.029,74.041,0.0,bottom
R58,10k,R_0603_1608Metric,124.079,81.661,180.0,bottom
R59,470R 1/2W,R_1206_3216Metric,129.159,74.041,0.0,bottom
R60,10k,R_0603_1608Metric,16.764,105.791,180.0,bottom
R61,470R 1/2W,R_1206_3216Metric,12.319,99.441,180.0,bottom
R62,10k,R_0603_1608Metric,42.992,108.926,180.0,bottom
